// Actualizar la lógica de extracción para que el campo 'línea' solo contenga uno de los siguientes valores exactos:
// 'Euro Design 60', 'Euro Design Slide', 'High Design Slide', 'Synego'.
// Si no se encuentra ninguna coincidencia exacta, dejar el campo vacío para revisión manual.
// Lógica mejorada: Buscar la línea real (de las permitidas) en la descripción, y luego extraer el color como el texto entre la línea y la palabra 'Pres'. Si no hay línea real, dejar el campo vacío.
codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
398.312.001;Junta de hoja EPDM HST SYNEGO Pres. 150 m.;Junta de hoja EPDM HST SYNEGO Pres.;;;150
398.313.003;Junta para perfil de cruce EPDM HST SYNEGO Pres. 100 m.;Junta para perfil de cruce EPDM HST SYNEGO Pres.;;;100
354.000.002;Junta de estanqueidad perfil guia EPDM Negro HST SYNEGO Pres. 100 m.;Junta de estanqueidad perfil guia EPDM Negro HST SYNEGO Pres.;;;100
246.834.001;Junta cepillo 6,7 x 12 mm PE HST SYNEGO Pres. 100 m.;Junta cepillo;;x 12 mm PE HST SYNEGO;12
267.669.001;Tornillo cabezon galvanizado HST SYNEGO Pres. 1000 u.;Tornillo cabezon galvanizado HST SYNEGO Pres.;;;
398.308.001;Kit estanqueidad, esquema A HST SYNEGO Pres. 1 u.;Kit estanqueidad, esquema A HST SYNEGO Pres.;;;
398.309.001;Kit estanqueidad, esquema C HST SYNEGO Pres. 1 u.;Kit estanqueidad, esquema C HST SYNEGO Pres.;;;
398.325.001;Pieza estanqueidad Der superior cruce HST SYNEGO Gris Pres. 50 u.;Pieza estanqueidad Der superior cruce HST SYNEGO Gris Pres.;;;
398.326.001;Pieza estanqueidad Izq superior cruce HST SYNEGO Gris Pres. 50 u.;Pieza estanqueidad Izq superior cruce HST SYNEGO Gris Pres.;;;
398.332.001;Distanciador ABS HST SYNEGO Pres. 50 u.;Distanciador ABS HST SYNEGO Pres.;;;
398.341.001;Conector de hoja derecho PA - GF HST SYNEGO Pres. 10 u.;Conector de hoja derecho PA - GF HST SYNEGO Pres.;;;
398.351.001;Conector de hoja izquierdo PA - GF HST SYNEGO Pres. 10 u.;Conector de hoja izquierdo PA - GF HST SYNEGO Pres.;;;
398.342.001;Conector de esquina HST SYNEGO Zinc Pres. 20 u.;Conector de esquina HST SYNEGO Zinc Pres.;;;
398.340.001;Pieza de estanqueidad HST SYNEGO Pres. 20 u.;Pieza de estanqueidad HST SYNEGO Pres.;;;
398.320.001;Cierre de marco PVC HST SYNEGO Pres. 20 u.;Cierre de marco PVC HST SYNEGO Pres.;;;
358.049.002;Galce\Soporte taco de acristalar 53x4 RAU-PP HST SYNEGO Gris Pres. 500 u.;Galce\Soporte taco de acristalar;;RAU-PP HST SYNEGO Gris;
352.849.001;Pieza soporte para ruedas HST SYNEGO Pres. 2 u.;Pieza soporte para ruedas HST SYNEGO Pres.;;;
357.800.001;Tornillo 5,5x110 mm DIN 7981 (ISO 7049) HST SYNEGO Pres. 100 u.;Tornillo;;;110
357.900.001;Tornillo 5,5x130 mm DIN 7981 (ISO 7049) HST SYNEGO Pres. 100 u.;Tornillo;;;130
398.305.111;Refuerzo 140x29,5/2 mm Aluminio para marco Puls SYNEGO Pres. 6,8 m.;Refuerzo;;mm Aluminio para marco Puls SYNEGO;2
398.303.111;Refuerzo 50x30/2 mm para marco 40 HST SYNEGO Pres. 6 m.;Refuerzo;;mm para marco 40 HST SYNEGO;2
398.301.111;Refuerzo 47,3x4,2/1,5 mm para hoja 40 HST SYNEGO Pres. 6 m.;Refuerzo;;mm para hoja 40 HST SYNEGO;1.5
398.300.111;Refuerzo 44,5x46x33/2 mm hoja 101 HSY SYNEGO Pres. 6 m.;Refuerzo;;mm hoja 101 HSY SYNEGO;2
398.302.112;Refuerzo 22x18x8/1,5mm para perfil de cruce HST SYNEGO Pres. 5 m.;Refuerzo;;;1.5
500.715.001;Marco 2 EX Exelis Slide Blanco Pres. 5,8 m.- PRECIO NETO;Marco;;EX Exelis Slide Blanco;5.8
500.718.001;Marco N3 EX Exelis Slide Blanco Pres. 5,8 m.- PRECIO NETO;Marco N;;EX Exelis Slide Blanco;5.8
500.719.001;Hoja 1 EX Exelis Slide Blanco Pres. 5,8 m.- PRECIO NETO;Hoja;;EX Exelis Slide Blanco;5.8
500.723.001;Hoja 3 EX Exelis Slide Blanco Pres. 5,8 m.- PRECIO NETO;Hoja;;EX Exelis Slide Blanco;5.8
510.053.038;Remate central 1 Euro-Design Slide Bco-B.Brow Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-B.Brow;5.8
510.053.089;Remate central 1 Euro-Design Slide Bco-Ant M Pres. 5,8m.;Remate central;;Euro-Design Slide Bco-Ant M;5.8
510.053.062;Remate central 1 Euro-Design Slide Bco-Ant L Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Ant L;5.8
245.504.001;Junquillo acristalar  17 - 19 mm Exelis Slide Blanco Pres. 6,1 m.- PRECIO NETO;Junquillo acristalar;;- 19 mm Exelis Slide Blanco;19
500.012.001;Junquillo acristalar 3 - 6 mm Exelis Slide Blanco Pres. 5,8 m.- PRECIO NETO;Junquillo acristalar;;- 6 mm Exelis Slide Blanco;6
229.294.003;Nivelador P/ pieza de estanq 3, para marco 2 EX -N3 EX Slide Bco Pres. 500 u.- PRECIO NETO;Nivelador P/ pieza de estanq;;EX -N3 EX Slide Bco;
604.368.301;Taco de acristalar, para hoja 1 EX y hoja 3 EX ExelisdSlide Blanco Pres. 3000 u.- PRECIO NETO;Taco de acristalar, para hoja;;EX y hoja 3 EX ExelisdSlide Blanco;
228.701.003;Cinta acristalar , para hoja 1 EX y hoja 3EX Exelis Slide Pres. 1000 m.-  PRECIO NETO;Cinta acristalar , para hoja;;EX y hoja 3EX Exelis Slide;1000
500.726.001;Guia complementaria para mosquitero EX Slide Blanco Pres. 5,8 m.- PRECIO NETO;Guia complementaria para mosquitero EX Slide Blanco Pres.;;;5.8
320.093.001;Rueda ajustable (Max 50 kg x hoja), para hoja 3 EX ) Pres. 12 u.;Rueda ajustable (Max;;;
600.526.001;Tapa de desague con clapeta Blanco Pres. 100 u.- PRECIO NETO;Tapa de desague con clapeta Blanco Pres.;;;
328.067.001;Herraje central H1 EX, para hoja 1 EX Bco/Neg Pres. 1 u.- PRECIO NETO;Herraje central H;;EX Bco/Neg;
328.151.001;Herraje central H3 EX sin cerradura, para hoja 3 EX Bco/Neg Pres. 1 u.- PRECIO NETO;Herraje central H;;EX Bco/Neg;
328.150.001;Herraje central H3 EX con cerradura, para hoja 3 EX Bco/Neg Pres.1 u. - PRECIO NETO;Herraje central H;;EX Bco/Neg;
324.495.001;Refuerzo 24x8,2/1,5 mm, para marco 2 EX y N3 EX Exelis Slide Pres. 5,8 m.- PRECIO NETO;Refuerzo;;EX y N3 EX Exelis Slide;1.5
324.498.001;Refuerzo 17,3x14,7/1,5 mm, para hoja 1 EX Exelis Slide Pres. 5,8 m.- PRECIO NETO;Refuerzo;;EX Exelis Slide;1.5
324.497.001;Refuerzo 17,3x32,6/2 mm, para hoja 3 EX Exelis Slide Pres. 5,8 m.- PRECIO NETO;Refuerzo;;EX Exelis Slide;2
682.011.231;Marco 50 EX Exelis de abrir Blanco Pres. 5,8 m.- PRECIO NETO;Marco;;EX Exelis de abrir Blanco;5.8
682.031.231;Poste\Travesano T64 EX Exelis de abrir Blanco Pres. 5,8 m- PRECIO NETO;Poste\Travesano T;;EX Exelis de abrir Blanco;5.8
682.021.231;Hoja T75 EX Exelis de abrir Blanco Pres. 5,8 m.- PRECIO NETO;Hoja T;;EX Exelis de abrir Blanco;5.8
682.041.231;Hoja Z64 EX Exelis de abrir Blanco Pres. 5,8 m.- PRECIO NETO;Hoja Z;;EX Exelis de abrir Blanco;5.8
320.105.001;Union mecanica, para poste/trav T64 EX Exelis de abrir Bco Pres. 200 u.- PRECIO NETO;Union mecanica, para poste/trav T;;EX Exelis de abrir Bco;
320.101.001;Refuerzo 24,5x15/1,5 mm marco 50 EX, poste\trav T64 y H Z64 Pres. 5,8 m.- PRECIO NETO;Refuerzo;;y H Z64;1.5
320.102.001;Refuerzo 34,5x27,5x10,5/1,5 mm, para hoja T75 EX Pres. 5,8 m.- PRECIO NETO;Refuerzo;;EX;1.5
601.565.001;Refuerzo 25,5x14,9/1,5 mm, para hoja Z64 EX Pres. 5,8 m.- PRECIO NETO;Refuerzo;;EX;1.5
637.533.701;Junquillo 3,5 mm Blanco Pres. 6 m.;Junquillo;;mm Blanco;3.5
560.580.058;Junquillo 6,5 mm Blanco Pres. 5,8 m.;Junquillo;;mm Blanco;6.5
594.330.318;Junquillo 6,5 mm Mar-Rob Pres. 5,8 m.;Junquillo;;mm Mar-Rob;6.5
594.330.475;Junquillo 6,5 mm Mar-Ant L Pres. 5,8 m.;Junquillo;;mm Mar-Ant L;6.5
594.330.320;Junquillo 6,5 mm Mar-B.Brown Pres. 5,8 m.;Junquillo;;mm Mar-B.Brown;6.5
594.330.315;Junquillo 6,5 mm Mar-Nog Pres. 5,8 m.;Junquillo;;mm Mar-Nog;6.5
594.330.310;Junquillo 6,5 mm Mar-Win Pres. 5,8 m.;Junquillo;;mm Mar-Win;6.5
594.330.183;Junquillo 6,5 mm Mar-Mon Pres. 5,8 m.;Junquillo;;mm Mar-Mon;6.5
594.330.212;Junquillo 6,5 mm Mar-Negro M. Pres. 5,8 m.;Junquillo;;mm Mar-Negro M.;6.5
594.330.239;Junquillo 6,5 mm Mar-Turn Pres. 5,8 m.;Junquillo;;mm Mar-Turn;6.5
594.330.238;Junquillo 6,5 mm Bco-Sheff A. Pres. 5,8 m.;Junquillo;;mm Bco-Sheff A.;6.5
594.330.261;Junquillo 6,5 mm Mar-Hab Pres. 5,8 m.;Junquillo;;mm Mar-Hab;6.5
594.330.260;Junquillo 6,5 mm Mar-Tit Pres. 5,8 m.;Junquillo;;mm Mar-Tit;6.5
594.330.492;Junquillo 6,5 mm Mar-Ant M Pres. 5,8 m.;Junquillo;;mm Mar-Ant M;6.5
594.330.494;Junquillo 6,5 mm Mar-Black S Pres. 5,8 m.;Junquillo;;mm Mar-Black S;6.5
594.330.489;Junquillo 6,5 mm Mar-Nut Pres. 5,8 m.;Junquillo;;mm Mar-Nut;6.5
594.330.491;Junquillo 6,5 mm Mar-Qrz Pres. 5,8 m.;Junquillo;;mm Mar-Qrz;6.5
560.590.058;Junquillo 10,5 mm Blanco Pres. 5,8 m.;Junquillo;;mm Blanco;10.5
596.910.317;Junquillo 10,5 mm Mar-Rob Pres. 5,8 m.;Junquillo;;mm Mar-Rob;10.5
596.910.325;Junquillo 10,5 mm Mar-Ant L Pres. 5,8 m.;Junquillo;;mm Mar-Ant L;10.5
596.910.318;Junquillo 10,5 mm Mar-B.Brown Pres. 5,8 m.;Junquillo;;mm Mar-B.Brown;10.5
596.910.314;Junquillo 10,5 mm Mar-Nog Pres. 5,8 m.;Junquillo;;mm Mar-Nog;10.5
596.910.313;Junquillo 10,5 mm Mar-Win Pres. 5,8 m.;Junquillo;;mm Mar-Win;10.5
596.910.213;Junquillo 10,5 mm Mar-Mon Pres. 5,8 m.;Junquillo;;mm Mar-Mon;10.5
596.910.238;Junquillo 10,5 mm Mar-Negro M. Pres. 5,8 m.;Junquillo;;mm Mar-Negro M.;10.5
596.910.263;Junquillo 10,5 mm Mar-Turn Pres. 5,8 m.;Junquillo;;mm Mar-Turn;10.5
596.910.262;Junquillo 10,5 mm Bco-Sheff A. Pres. 5,8 m.;Junquillo;;mm Bco-Sheff A.;10.5
596.910.282;Junquillo 10,5 mm Mar-Hab Pres. 5,8 m.;Junquillo;;mm Mar-Hab;10.5
596.910.288;Junquillo 10,5 mm Mar-Tit Pres. 5,8 m.;Junquillo;;mm Mar-Tit;10.5
596.910.383;Junquillo 10,5 mm Mar-Ant M Pres. 5,8 m.;Junquillo;;mm Mar-Ant M;10.5
596.910.384;Junquillo 10,5 mm Mar-Black S Pres. 5,8 m.;Junquillo;;mm Mar-Black S;10.5
596.910.380;Junquillo 10,5 mm Mar-Nut Pres. 5,8 m.;Junquillo;;mm Mar-Nut;10.5
596.910.382;Junquillo 10,5 mm Mar-Qrz Pres. 5,8 m.;Junquillo;;mm Mar-Qrz;10.5
560.600.058;Junquillo 14,5 mm Blanco Pres. 5,8 m.;Junquillo;;mm Blanco;14.5
596.660.420;Junquillo 14,5 mm Mar-Rob Pres. 5,8 m.;Junquillo;;mm Mar-Rob;14.5
596.660.426;Junquillo 14,5 mm Mar-Ant L Pres. 5,8 m.;Junquillo;;mm Mar-Ant L;14.5
596.660.422;Junquillo 14,5 mm Mar-B.Brown Pres. 5,8 m.;Junquillo;;mm Mar-B.Brown;14.5
596.660.417;Junquillo 14,5 mm Mar-Nog Pres. 5,8 m.;Junquillo;;mm Mar-Nog;14.5
596.660.415;Junquillo 14,5 mm Mar-Win Pres. 5,8 m.;Junquillo;;mm Mar-Win;14.5
596.660.283;Junquillo 14,5 mm Mar-Mon Pres. 5,8 m.;Junquillo;;mm Mar-Mon;14.5
596.660.310;Junquillo 14,5 mm Mar-Negro M. Pres. 5,8 m.;Junquillo;;mm Mar-Negro M.;14.5
596.660.343;Junquillo 14,5 mm Mar-Turn Pres. 5,8 m.;Junquillo;;mm Mar-Turn;14.5
596.660.342;Junquillo 14,5 mm Bco-Sheff A. Pres. 5.8  m.;Junquillo;;mm Bco-Sheff A.;14.5
596.660.367;Junquillo 14,5 mm Mar-Hab Pres. 5,8 m.;Junquillo;;mm Mar-Hab;14.5
596.660.363;Junquillo 14,5 mm Mar-Tit Pres. 5,8 m.;Junquillo;;mm Mar-Tit;14.5
596.660.546;Junquillo 14,5 mm Mar-Ant M Pres. 5,8 m.;Junquillo;;mm Mar-Ant M;14.5
596.660.547;Junquillo 14,5 mm Mar-Black S Pres. 5,8 m.;Junquillo;;mm Mar-Black S;14.5
596.660.544;Junquillo 14,5 mm Mar-Nut Pres. 5,8 m.;Junquillo;;mm Mar-Nut;14.5
596.660.545;Junquillo 14,5 mm Mar-Qrz Pres. 5,8 m.;Junquillo;;mm Mar-Qrz;14.5
560.610.058;Junquillo 18,5 mm Blanco Pres. 5,8 m.;Junquillo;;mm Blanco;18.5
596.260.316;Junquillo 18,5 mm Mar-Rob Pres. 5,8 m.;Junquillo;;mm Mar-Rob;18.5
596.260.321;Junquillo 18,5 mm Mar-Ant L Pres. 5,8 m.;Junquillo;;mm Mar-Ant L;18.5
596.260.318;Junquillo 18,5 mm Mar-B.Brown Pres. 5,8 m.;Junquillo;;mm Mar-B.Brown;18.5
596.260.313;Junquillo 18,5 mm Mar-Nog Pres. 5,8 m.;Junquillo;;mm Mar-Nog;18.5
596.260.312;Junquillo 18,5 mm Mar-Win Pres. 5,8 m.;Junquillo;;mm Mar-Win;18.5
596.260.220;Junquillo 18,5 mm Mar-Mon Pres. 5,8 m.;Junquillo;;mm Mar-Mon;18.5
596.260.240;Junquillo 18,5 mm Mar-Negro M. Pres. 5,8 m.;Junquillo;;mm Mar-Negro M.;18.5
596.260.263;Junquillo 18,5 mm Mar-Turn Pres. 5.8 m.;Junquillo;;mm Mar-Turn;18.5
596.260.261;Junquillo 18,5 mm Bco-Sheff A. Pres. 5,8 m.;Junquillo;;mm Bco-Sheff A.;18.5
596.260.277;Junquillo 18,5 mm Mar-Hab Pres. 5,8 m.;Junquillo;;mm Mar-Hab;18.5
596.260.274;Junquillo 18,5 mm Mar-Tit Pres. 5,8 m.;Junquillo;;mm Mar-Tit;18.5
596.260.425;Junquillo 18,5 mm Mar-Ant M Pres. 5,8 m.;Junquillo;;mm Mar-Ant M;18.5
596.260.426;Junquillo 18,5 mm Mar-Black S Pres. 5,8 m.;Junquillo;;mm Mar-Black S;18.5
596.260.423;Junquillo 18,5 mm Mar-Nut Pres. 5,8 m.;Junquillo;;mm Mar-Nut;18.5
596.260.424;Junquillo 18,5 mm Mar-Qrz Pres. 5,8 m.;Junquillo;;mm Mar-Qrz;18.5
560.510.701;Junquillo 22,5 mm Blanco Pres. 6 m.;Junquillo;;mm Blanco;22.5
581.441.364;Junquillo 22,5 mm Bco-Rob Pres. 6 m.;Junquillo;;mm Bco-Rob;22.5
581.441.369;Junquillo 22,5 mm Bco-Ant L Pres. 6 m.;Junquillo;;mm Bco-Ant L;22.5
581.441.365;Junquillo 22,5 mm Bco-B.Brow Pres. 6 m.;Junquillo;;mm Bco-B.Brow;22.5
581.441.361;Junquillo 22,5 mm Bco-Nog Pres. 6 m.;Junquillo;;mm Bco-Nog;22.5
581.441.360;Junquillo 22,5 mm Bco-Win Pres. 6 m.;Junquillo;;mm Bco-Win;22.5
581.441.237;Junquillo 22,5 mm Bco-Mon Pres. 6 m.;Junquillo;;mm Bco-Mon;22.5
581.441.257;Junquillo 22,5 mm Bco-Negro M. Pres. 6 m.;Junquillo;;mm Bco-Negro M.;22.5
581.441.285;Junquillo 22,5 mm Bco-Turn Pres. 6 m.;Junquillo;;mm Bco-Turn;22.5
581.441.283;Junquillo 22,5 mm Bco-Sheff A. Pres. 6 m.;Junquillo;;mm Bco-Sheff A.;22.5
581.441.334;Junquillo 22,5 mm Bco-Hab Pres. 6 m.;Junquillo;;mm Bco-Hab;22.5
581.441.307;Junquillo 22,5 mm Bco-Tit Pres. 6 m.;Junquillo;;mm Bco-Tit;22.5
581.441.465;Junquillo 22,5 mm Mar-Ant M Pres. 6 m.;Junquillo;;mm Mar-Ant M;22.5
581.441.466;Junquillo 22,5 mm Mar-Black S Pres. 6 m.;Junquillo;;mm Mar-Black S;22.5
581.441.461;Junquillo 22,5 mm Mar-Nut Pres. 6 m.;Junquillo;;mm Mar-Nut;22.5
581.441.462;Junquillo 22,5 mm Mar-Qrz Pres. 6 m.;Junquillo;;mm Mar-Qrz;22.5
560.620.701;Junquillo 26,5 mm Blanco Pres. 6 m.;Junquillo;;mm Blanco;26.5
596.920.175;Junquillo 26,5 mm Bco-Rob Pres. 6 m.;Junquillo;;mm Bco-Rob;26.5
596.920.178;Junquillo 26,5 mm Bco-Ant L Pres. 6 m.;Junquillo;;mm Bco-Ant L;26.5
596.920.177;Junquillo 26,5 mm Bco-B.Brow Pres. 6 m.;Junquillo;;mm Bco-B.Brow;26.5
596.920.174;Junquillo 26,5 mm Bco-Nog Pres. 6 m.;Junquillo;;mm Bco-Nog;26.5
596.920.173;Junquillo 26,5 mm Bco-Win Pres. 6 m.;Junquillo;;mm Bco-Win;26.5
596.920.080;Junquillo 26,5 mm Bco-Mon Pres. 6 m.;Junquillo;;mm Bco-Mon;26.5
596.920.099;Junquillo 26,5 mm Bco-Negro M. Pres. 6 m.;Junquillo;;mm Bco-Negro M.;26.5
596.920.126;Junquillo 26,5 mm Bco-Turn Pres. 6 m.;Junquillo;;mm Bco-Turn;26.5
596.920.125;Junquillo 26,5 mm Bco-Sheff A. Pres. 6 m.;Junquillo;;mm Bco-Sheff A.;26.5
596.920.137;Junquillo 26,5 mm Bco-Hab Pres. 6 m.;Junquillo;;mm Bco-Hab;26.5
596.920.148;Junquillo 26,5 mm Bco-Tit Pres. 6 m.;Junquillo;;mm Bco-Tit;26.5
596.920.262;Junquillo 26,5 mm Bco-Ant M Pres. 6 m.;Junquillo;;mm Bco-Ant M;26.5
596.920.263;Junquillo 26,5 mm Bco-Black S Pres. 6 m.;Junquillo;;mm Bco-Black S;26.5
596.920.260;Junquillo 26,5 mm Bco-Nut Pres. 6 m.;Junquillo;;mm Bco-Nut;26.5
596.920.261;Junquillo 26,5 mm Bco-Qrz Pres. 6 m.;Junquillo;;mm Bco-Qrz;26.5
561.520.701;Junquillo 30,5 mm Blanco Pres. 6 m.;Junquillo;;mm Blanco;30.5
596.600.134;Junquillo 30,5 mm Bco-Rob Pres. 6m.;Junquillo;;mm Bco-Rob;30.5
596.600.137;Junquillo 30,5 mm Bco-Ant L Pres. 6 m.;Junquillo;;mm Bco-Ant L;30.5
596.600.136;Junquillo 30,5 mm Bco-B.Brow Pres. 6 m.;Junquillo;;mm Bco-B.Brow;30.5
596.600.133;Junquillo 30,5 mm Bco-Nog Pres. 6m.;Junquillo;;mm Bco-Nog;30.5
596.600.131;Junquillo 30,5 mm Bco-Win Pres. 6 m.;Junquillo;;mm Bco-Win;30.5
596.600.075;Junquillo 30,5 mm Bco-Mon Pres. 6 m.;Junquillo;;mm Bco-Mon;30.5
596.600.088;Junquillo 30,5 mm Bco-Negro M. Pres. 6 m.;Junquillo;;mm Bco-Negro M.;30.5
596.600.108;Junquillo 30,5 mm Bco-Turn Pres. 6 m.;Junquillo;;mm Bco-Turn;30.5
596.600.107;Junquillo 30,5 mm Bco-Sheff A. Pres. 6 m.;Junquillo;;mm Bco-Sheff A.;30.5
596.600.120;Junquillo 30,5 mm Bco-Hab Pres. 6 m.;Junquillo;;mm Bco-Hab;30.5
596.600.119;Junquillo 30,5 mm Bco-Tit Pres. 6 m.;Junquillo;;mm Bco-Tit;30.5
596.600.181;Junquillo 30,5 mm Bco-Ant M Pres. 6 m.;Junquillo;;mm Bco-Ant M;30.5
596.600.182;Junquillo 30,5 mm Bco-Black S Pres. 6 m.;Junquillo;;mm Bco-Black S;30.5
596.600.178;Junquillo 30,5 mm Bco-Nut Pres. 6 m.;Junquillo;;mm Bco-Nut;30.5
596.600.180;Junquillo 30,5 mm Bco-Qrz Pres. 6 m.;Junquillo;;mm Bco-Qrz;30.5
561.530.701;Junquillo 34,5 mm Blanco Pres. 6 m.;Junquillo;;mm Blanco;34.5
596.630.138;Junquillo 34,5 mm Bco-Rob Pres. 6m.;Junquillo;;mm Bco-Rob;34.5
596.630.140;Junquillo 34,5 mm Bco-Ant L Pres. 6 m.;Junquillo;;mm Bco-Ant L;34.5
596.630.139;Junquillo 34,5 mm Bco-B.Brow Pres. 6 m.;Junquillo;;mm Bco-B.Brow;34.5
596.630.136;Junquillo 34,5 mm Bco-Nog Pres. 6 m.;Junquillo;;mm Bco-Nog;34.5
596.630.135;Junquillo 34,5 mm Bco-Win Pres. 6 m.;Junquillo;;mm Bco-Win;34.5
596.630.002;Junquillo 34,5 mm Bco-Mon Pres. 6 m.;Junquillo;;mm Bco-Mon;34.5
596.630.161;Junquillo 34,5 mm Bco-Negro M. Pres. 6 m.;Junquillo;;mm Bco-Negro M.;34.5
596.630.118;Junquillo 34,5 mm Bco-Turn Pres. 6 m.;Junquillo;;mm Bco-Turn;34.5
596.630.117;Junquillo 34,5 mm Bco-Sheff A. Pres. 6 m.;Junquillo;;mm Bco-Sheff A.;34.5
596.630.125;Junquillo 34,5 mm Bco-Hab Pres. 6 m.;Junquillo;;mm Bco-Hab;34.5
596.630.123;Junquillo 34,5 mm Bco-Tit Pres. 6 m.;Junquillo;;mm Bco-Tit;34.5
596.630.170;Junquillo 34,5 mm Bco-Ant M Pres. 6 m.;Junquillo;;mm Bco-Ant M;34.5
596.630.171;Junquillo 34,5 mm Bco-Black S Pres. 6 m.;Junquillo;;mm Bco-Black S;34.5
596.630.167;Junquillo 34,5 mm Bco-Nut Pres. 6 m.;Junquillo;;mm Bco-Nut;34.5
596.630.169;Junquillo 34,5 mm Bco-Qrz Pres. 6 m.;Junquillo;;mm Bco-Qrz;34.5
304.575.001;Junta de acristalar 24-36 Negro Pres. 300 m.;Junta de acristalar;;Negro;300
864.992.010;Junta de acristalar No 65 Negro Pres. 400 m.;Junta de acristalar No;;Negro;400
865.002.010;Junta de acristalar No 66 Negro Pres. 400 m.;Junta de acristalar No;;Negro;400
865.012.001;Junta de acristalar N 67 Negro Pres. 300 m.;Junta de acristalar N;;Negro;300
865.022.001;Junta de acristalar N 68 Negro Pres. 300 m.;Junta de acristalar N;;Negro;300
732.460.010;Perfil de acoplamiento 1 Blanco Pres. 5,8 m.;Perfil de acoplamiento;;Blanco;5.8
590.012.041;Perfil de acoplamiento 1 Bco-Rob Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Rob;5.8
590.012.043;Perfil de acoplamiento 1 Bco-Ant L Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Ant L;5.8
590.012.042;Perfil de acoplamiento 1 Bco-B.Brow Pres. 5,8 m.;Perfil de acoplamiento;;Bco-B.Brow;5.8
590.012.039;Perfil de acoplamiento 1 Bco-Nog Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Nog;5.8
590.012.032;Perfil de acoplamiento 1 Bco-Win Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Win;5.8
590.012.027;Perfil de acoplamiento 1 Bco-Mon Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Mon;5.8
590.012.028;Perfil de acoplamiento 1 Bco-Negro M. Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Negro M.;5.8
590.012.036;Perfil de acoplamiento 1 Bco-Turn Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Turn;5.8
590.012.034;Perfil de acoplamiento 1 Bco-Sheff A. Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Sheff A.;5.8
590.012.021;Perfil de acoplamiento 1 Bco-Hab Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Hab;5.8
590.012.035;Perfil de acoplamiento 1 Bco-Tit Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Tit;5.8
590.012.048;Perfil de acoplamiento 1 Bco-Ant M Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Ant M;5.8
590.012.049;Perfil de acoplamiento 1 Bco-Black S Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Black S;5.8
590.012.046;Perfil de acoplamiento 1 Bco-Nut Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Nut;5.8
590.012.047;Perfil de acoplamiento 1 Bco-Qrz Pres. 5,8 m.;Perfil de acoplamiento;;Bco-Qrz;5.8
639.574.701;Perfil de union 3 Blanco Pres. 6 m.;Perfil de union;;Blanco;6
561.590.701;Perfil de refuerzo (PVC) Blanco Pres. 6 m.;Perfil de refuerzo (PVC) Blanco Pres.;;;6
561.600.701;Perfil de sujecion Blanco Pres. 6 m.;Perfil de sujecion Blanco Pres.;;;6
259.772.004;Refuerzo 50x20/2 mm para perfil de refuerzo (PVC) Blanco Pres. 6 m.;Refuerzo;;;2
561.002.701;Perfil de refuerzo n 3 (PVC) Blanco Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.077;Perfil de refuerzo n 3 (PVC) Bco-Rob/Rob Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.076;Perfil de refuerzo n 3 (PVC) Bco-Bco/Rob Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.078;Perfil de refuerzo n 3 (PVC) Bco-Rob/Bco Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.082;Perfil de refuerzo n 3 (PVC) Bco-Ant L/Ant L Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.083;Perfil de refuerzo n 3 (PVC) Bco-Bco/Ant L Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.084;Perfil de refuerzo n 3 (PVC) Bco-Ant L/Bco Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.079;Perfil de refuerzo n 3 (PVC) Bco-B.Brow/B.Brow Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.080;Perfil de refuerzo n 3 (PVC) Bco-Bco/B.Brow Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.081;Perfil de refuerzo n 3 (PVC) Bco-B.Brow/Bco Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.073;Perfil de refuerzo n 3 (PVC) Bco-Nog/Nog Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.074;Perfil de refuerzo n 3 (PVC) Bco-Bco/Nog Pres. 6 m.;Perfil de refuerzo n;;;6
597.014.075;Perfil de refuerzo n 3 (PVC) Bco-Nog/Bco Pres. 6 m.;Perfil de refuerzo n;;;6
